t=0ms START device=ios targets=192.0.2.1:44433/v4,[2001:db8::1]:44433/v6 minutes=4500 echoIntervalMs=250 qlog=/var/mobile/Containers/Data/Application/F584FE2E-5D14-4C36-BD66-C6D10AC83167/Documents/qlog
t=2ms PREVIOUS-RUN none
t=4ms TRACE-BUDGET mb=1182 plannedExchanges=1080000
t=16118421ms ECHO-OK seq=61707 rtt=259ms pending=12B
t=16118679ms ECHO-OK seq=61708 rtt=259ms pending=12B
t=16118938ms ECHO-OK seq=61709 rtt=260ms pending=12B
t=16119196ms ECHO-OK seq=61710 rtt=260ms pending=12B
t=16119455ms ECHO-OK seq=61711 rtt=260ms pending=12B
t=16119709ms ECHO-OK seq=61712 rtt=256ms pending=12B
t=16119977ms ECHO-OK seq=61713 rtt=269ms pending=12B
t=16120230ms ECHO-OK seq=61714 rtt=263ms pending=12B
t=16120795ms ECHO-OVERDUE seq=61715 waited=566ms deadline=304ms
t=16120796ms ECHO-OVERDUE seq=61716 waited=309ms deadline=305ms
t=16121362ms ECHO-OVERDUE seq=61717 waited=309ms deadline=305ms
t=16121930ms ECHO-OVERDUE seq=61718 waited=311ms deadline=305ms
t=16122497ms ECHO-OVERDUE seq=61719 waited=311ms deadline=305ms
t=16123061ms ECHO-OVERDUE seq=61720 waited=307ms deadline=305ms
t=16123626ms ECHO-OVERDUE seq=61721 waited=311ms deadline=305ms
t=16124122ms PATH Probing(endpoint=100.92.108.100:58558)
t=16124192ms ECHO-OVERDUE seq=61722 waited=307ms deadline=305ms
t=16124756ms ECHO-OVERDUE seq=61723 waited=309ms deadline=305ms
t=16125322ms ECHO-OVERDUE seq=61724 waited=309ms deadline=305ms
t=16125883ms ECHO-OVERDUE seq=61725 waited=307ms deadline=305ms
t=16126448ms ECHO-OVERDUE seq=61726 waited=311ms deadline=305ms
t=16127015ms ECHO-OVERDUE seq=61727 waited=309ms deadline=305ms
t=16127120ms PATH Failed(result=PathNotValidated)
t=16127121ms MIGRATION-ATTEMPT n=1 outcome=PathNotValidated tookMs=2999
t=16127381ms PATH Probing(endpoint=100.92.108.100:57049)
t=16127583ms ECHO-OVERDUE seq=61728 waited=311ms deadline=305ms
t=16128152ms ECHO-OVERDUE seq=61729 waited=311ms deadline=305ms
t=16128728ms ECHO-OVERDUE seq=61730 waited=311ms deadline=305ms
t=16129290ms ECHO-OVERDUE seq=61731 waited=306ms deadline=305ms
t=16129852ms ECHO-OVERDUE seq=61732 waited=306ms deadline=305ms
t=16130384ms PATH Failed(result=PathNotValidated)
t=16130386ms MIGRATION-ATTEMPT n=2 outcome=PathNotValidated tookMs=3003
t=16130420ms ECHO-OVERDUE seq=61733 waited=311ms deadline=305ms
t=16130890ms PATH Probing(endpoint=100.92.108.100:61882)
t=16130986ms ECHO-OVERDUE seq=61734 waited=311ms deadline=305ms
t=16131555ms ECHO-OVERDUE seq=61735 waited=311ms deadline=305ms
t=16132120ms ECHO-OVERDUE seq=61736 waited=308ms deadline=305ms
t=16132688ms ECHO-OVERDUE seq=61737 waited=311ms deadline=305ms
t=16133251ms ECHO-OVERDUE seq=61738 waited=307ms deadline=305ms
t=16133819ms ECHO-OVERDUE seq=61739 waited=311ms deadline=305ms
t=16133893ms PATH Failed(result=PathNotValidated)
t=16133894ms MIGRATION-ATTEMPT n=3 outcome=PathNotValidated tookMs=3003
t=16134380ms ECHO-OVERDUE seq=61740 waited=308ms deadline=305ms
t=16134905ms PATH Probing(endpoint=100.92.108.100:59778)
t=16134941ms ECHO-OVERDUE seq=61741 waited=307ms deadline=305ms
t=16135509ms ECHO-OVERDUE seq=61742 waited=311ms deadline=305ms
t=16136077ms ECHO-OVERDUE seq=61743 waited=311ms deadline=305ms
t=16136641ms ECHO-OVERDUE seq=61744 waited=311ms deadline=305ms
t=16137205ms ECHO-OVERDUE seq=61745 waited=311ms deadline=305ms
t=16137773ms ECHO-OVERDUE seq=61746 waited=311ms deadline=305ms
t=16137908ms PATH Failed(result=PathNotValidated)
t=16137909ms MIGRATION-ATTEMPT n=4 outcome=PathNotValidated tookMs=3003
t=16138334ms ECHO-OVERDUE seq=61747 waited=307ms deadline=305ms
t=16138900ms ECHO-OVERDUE seq=61748 waited=311ms deadline=305ms
t=16139460ms ECHO-OVERDUE seq=61749 waited=307ms deadline=305ms
t=16139914ms PATH Probing(endpoint=100.92.108.100:51522)
t=16140024ms ECHO-OVERDUE seq=61750 waited=306ms deadline=305ms
t=16140588ms ECHO-OVERDUE seq=61751 waited=311ms deadline=305ms
t=16140678ms PATH Validated(endpoint=100.92.108.100:51522)
t=16140679ms PATH Migrated(endpoint=100.92.108.100:51522)
t=16140679ms MIGRATION-ATTEMPT n=5 outcome=Succeeded tookMs=764
t=16140845ms WIRE-CID-ROTATED session=f2d3eea00e13b55571b3371b2063ce2024d2c7c9 wire=f57d86098d23a379e6d0001329013c8894ee9651
t=16140884ms HEARTBEAT attempt=1 locUpdates=1 rss=36208kB vsz=400852MB battery=25% unplugged
t=16141158ms ECHO-OVERDUE seq=61752 waited=311ms deadline=305ms
t=16141411ms ECHO-LATE seq=61715 rtt=21182ms late=+20877ms deadline=304ms pending=12B
t=16141412ms ECHO-LATE seq=61716 rtt=20924ms late=+20619ms deadline=305ms pending=12B
t=16141412ms ECHO-LATE seq=61717 rtt=20358ms late=+20053ms deadline=305ms pending=12B
t=16141412ms ECHO-LATE seq=61718 rtt=19792ms late=+19487ms deadline=305ms pending=12B
t=16141413ms ECHO-LATE seq=61719 rtt=19225ms late=+18920ms deadline=305ms pending=12B
t=16141413ms ECHO-LATE seq=61720 rtt=18658ms late=+18353ms deadline=305ms pending=12B
t=16141413ms ECHO-LATE seq=61721 rtt=18096ms late=+17791ms deadline=305ms pending=12B
t=16141414ms ECHO-LATE seq=61722 rtt=17526ms late=+17221ms deadline=305ms pending=12B
t=16141414ms ECHO-LATE seq=61723 rtt=16964ms late=+16659ms deadline=305ms pending=12B
t=16141415ms ECHO-LATE seq=61724 rtt=16398ms late=+16093ms deadline=305ms pending=12B
t=16141415ms ECHO-LATE seq=61725 rtt=15835ms late=+15530ms deadline=305ms pending=12B
t=16141416ms ECHO-LATE seq=61726 rtt=15274ms late=+14969ms deadline=305ms pending=12B
t=16141416ms ECHO-LATE seq=61727 rtt=14705ms late=+14400ms deadline=305ms pending=12B
t=16141416ms ECHO-LATE seq=61728 rtt=14138ms late=+13833ms deadline=305ms pending=12B
t=16141417ms ECHO-LATE seq=61729 rtt=13570ms late=+13265ms deadline=305ms pending=12B
t=16141417ms ECHO-LATE seq=61730 rtt=12994ms late=+12688ms deadline=305ms pending=12B
